file,class,type,wmc,lcom,loc,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\numcal\BidConst.java,com.geekq.common.utils.numcal.BidConst,class,0,0,48,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\MiaoShaMessageController.java,com.geekq.miaosha.controller.MiaoShaMessageController,class,3,1,14,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MiaoshaMessage.java,com.geekq.miaosha.rabbitmq.MiaoshaMessage,class,4,2,16,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\service\rpchander\vo\PlanOrder.java,com.geekq.miaosha.service.rpchander.vo.PlanOrder,class,24,252,86,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\service\UserService.java,com.geekq.miaosha.service.UserService,class,1,0,6,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\utils\ValidatorUtil.java,com.geekq.miaosha.utils.ValidatorUtil,class,2,0,10,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\timeTask\OrderCloseTask.java,com.geekq.miaosha.timeTask.OrderCloseTask,class,10,0,43,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\MessageStatus.java,com.geekq.miasha.enums.MessageStatus$ContentEnum,enum,3,0,13,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\utils\MD5Util.java,com.geekq.miaosha.utils.MD5Util,class,5,8,23,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\query\QueryObject.java,com.geekq.admin.query.QueryObject,class,1,0,7,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\service\impl\RedisCache.java,com.geekq.admin.service.impl.RedisCache,class,9,0,37,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\dao\OrderDao.java,com.geekq.miaosha.dao.OrderDao,interface,6,15,8,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-consumer\src\main\java\com\geekq\dubbo\springboot\consumer\quickstart\QuickstartConsumer.java,com.geekq.dubbo.springboot.consumer.quickstart.QuickstartConsumer,class,1,0,6,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\dao\GoodsDao.java,com.geekq.miaosha.dao.GoodsDao,interface,3,3,5,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\exception\GlobleException.java,com.geekq.miaosha.exception.GlobleException,class,3,0,13,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\OrdersMapper.java,com.geekq.admin.mapper.OrdersMapper,interface,11,55,13,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\SystemDictionaryMapper.java,com.geekq.admin.mapper.SystemDictionaryMapper,interface,7,21,9,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\mapper\IpLogMapper.java,com.geekq.miaosha.mapper.IpLogMapper,interface,5,10,7,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-web\src\main\java\com\geekq\web\interceptor\LoginInterceptor.java,com.geekq.web.interceptor.LoginInterceptor,class,4,0,19,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\OrderController.java,com.geekq.miaosha.controller.OrderController,class,3,0,25,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\entity\MiaoShaMessageInfo.java,com.geekq.miasha.entity.MiaoShaMessageInfo,class,0,0,14,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\Userinfo.java,com.geekq.admin.entity.Userinfo,class,30,33,113,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\vo\OrderDetailVo.java,com.geekq.miasha.vo.OrderDetailVo,class,4,2,16,,,,,,,
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\service\OrderService.java,com.geekq.miaosha.service.OrderService,class,5,0,37,,,,,,,
