file,class,type,rfc,lcom,loc
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\MonitorModel.java,com.taobao.arthas.core.command.model.MonitorModel,class,0,4,17
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\PwdView.java,com.taobao.arthas.core.command.view.PwdView,class,2,0,5
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\matcher\EqualsMatcherTest.java,com.taobao.arthas.core.util.matcher.EqualsMatcherTest,class,3,0,9
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\ArthasTunnelApplication.java,com.alibaba.arthas.tunnel.server.app.ArthasTunnelApplication,class,1,0,5
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\RelayHandler.java,com.alibaba.arthas.tunnel.client.RelayHandler,class,7,0,34
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\view\TreeView.java,com.taobao.arthas.core.view.TreeView,class,14,7,168
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\RedefineView.java,com.taobao.arthas.core.command.view.RedefineView,class,7,0,15
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MBeanCommand.java,com.taobao.arthas.core.command.monitor200.MBeanCommand,class,66,252,365
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\GlobalOptions.java,com.taobao.arthas.core.GlobalOptions,class,1,0,14
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\basic1000\StopCommand.java,com.taobao.arthas.core.command.basic1000.StopCommand,class,8,1,23
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\TimeTunnelTable.java,com.taobao.arthas.core.command.monitor200.TimeTunnelTable,class,32,91,127
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\RetransformCommand.java,com.taobao.arthas.core.command.klass100.RetransformCommand$RetransformClassFileTransformer,innerclass,19,1,46
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\telnet\InvalidTelnetOptionException.java,org.apache.commons.net.telnet.InvalidTelnetOptionException,class,0,0,12
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorAdviceListener.java,com.taobao.arthas.core.command.monitor200.MonitorAdviceListener,class,37,7,153
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\JadCommand.java,com.taobao.arthas.core.command.klass100.JadCommand,class,53,48,144
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\config\ServerPropertiesTest.java,com.taobao.arthas.core.config.ServerPropertiesTest,class,20,1,36
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\OSUtils.java,com.taobao.arthas.common.OSUtils,class,10,37,117
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\SpyInterceptors.java,com.taobao.arthas.core.advisor.SpyInterceptors,class,0,0,47
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\MemoryView.java,com.taobao.arthas.core.command.view.MemoryView,class,16,1,85
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\api\ApiRequest.java,com.taobao.arthas.core.shell.term.impl.http.api.ApiRequest,class,0,42,47
E:\OOD\projectsnew\arthas-master\arthas-spring-boot-starter\src\main\java\com\alibaba\arthas\spring\endpoints\ArthasEndPoint.java,com.alibaba.arthas.spring.endpoints.ArthasEndPoint,class,2,0,15
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\UsageRender.java,com.taobao.arthas.common.UsageRender,class,10,1,27
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\StringToEnumConverter.java,com.taobao.arthas.core.env.convert.StringToEnumConverter,class,1,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\express\ExpressFactory.java,com.taobao.arthas.core.command.express.ExpressFactory$Anonymous1,anonymous,0,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\history\impl\HistoryManagerImpl.java,com.taobao.arthas.core.shell.history.impl.HistoryManagerImpl,class,8,0,38
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\impl\AnnotatedCommandImpl.java,com.taobao.arthas.core.shell.command.impl.AnnotatedCommandImpl,class,26,0,85
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\DatagramSocketFactory.java,org.apache.commons.net.DatagramSocketFactory,interface,0,3,5
